,block_name,cpu_b,cpu_s,gpu
183,expanded_conv-input:32x32x24-output:16x16x96-expand:6-kernel:3-stride:2-idskip:0,1.05113,1.68315,3.43848
184,expanded_conv-input:32x32x24-output:16x16x96-expand:3-kernel:5-stride:2-idskip:0,0.6176,1.19464,1.94871
185,expanded_conv-input:32x32x24-output:16x16x96-expand:6-kernel:5-stride:2-idskip:0,1.33652,2.46713,3.65177
186,expanded_conv-input:32x32x24-output:16x16x96-expand:3-kernel:7-stride:2-idskip:0,0.808035,1.45949,2.14558
187,expanded_conv-input:32x32x24-output:16x16x96-expand:6-kernel:7-stride:2-idskip:0,1.60499,2.79741,4.05433
188,expanded_conv-input:16x16x24-output:16x16x96-expand:3-kernel:3-stride:1-idskip:0,0.311017,0.497446,1.28437
189,expanded_conv-input:16x16x24-output:16x16x96-expand:6-kernel:3-stride:1-idskip:0,0.535825,0.882161,2.34238
190,expanded_conv-input:16x16x24-output:16x16x96-expand:3-kernel:5-stride:1-idskip:0,0.375422,0.552469,1.38813
191,expanded_conv-input:16x16x24-output:16x16x96-expand:6-kernel:5-stride:1-idskip:0,0.625467,1.11458,2.41274
192,expanded_conv-input:16x16x24-output:16x16x96-expand:3-kernel:7-stride:1-idskip:0,0.543559,0.951551,1.47439
193,expanded_conv-input:16x16x24-output:16x16x96-expand:6-kernel:7-stride:1-idskip:0,1.01097,1.80017,2.71634
194,expanded_conv-input:16x16x24-output:8x8x96-expand:3-kernel:3-stride:2-idskip:0,0.17462,0.294754,0.693035
195,expanded_conv-input:16x16x24-output:8x8x96-expand:6-kernel:3-stride:2-idskip:0,0.264342,0.480324,1.23211
196,expanded_conv-input:16x16x24-output:8x8x96-expand:3-kernel:5-stride:2-idskip:0,0.204939,0.413195,0.705369
197,expanded_conv-input:16x16x24-output:8x8x96-expand:6-kernel:5-stride:2-idskip:0,0.335901,0.563863,1.22115
198,expanded_conv-input:16x16x24-output:8x8x96-expand:3-kernel:7-stride:2-idskip:0,0.247136,0.403696,0.778178
199,expanded_conv-input:16x16x24-output:8x8x96-expand:6-kernel:7-stride:2-idskip:0,0.41503,0.857228,1.31745
200,expanded_conv-input:8x8x24-output:8x8x96-expand:3-kernel:3-stride:1-idskip:0,0.1472,0.23891,0.54801
201,expanded_conv-input:8x8x24-output:8x8x96-expand:6-kernel:3-stride:1-idskip:0,0.196296,0.342867,0.965974
202,expanded_conv-input:8x8x24-output:8x8x96-expand:3-kernel:5-stride:1-idskip:0,0.155868,0.260804,0.62418
203,expanded_conv-input:8x8x24-output:8x8x96-expand:6-kernel:5-stride:1-idskip:0,0.214232,0.367881,0.95293
204,expanded_conv-input:8x8x24-output:8x8x96-expand:3-kernel:7-stride:1-idskip:0,0.211005,0.347017,0.694296
205,expanded_conv-input:8x8x24-output:8x8x96-expand:6-kernel:7-stride:1-idskip:0,0.376618,0.572208,0.999436
206,expanded_conv-input:8x8x24-output:4x4x96-expand:3-kernel:3-stride:2-idskip:0,0.109029,0.202938,0.396852
