block_name,time
expanded_conv-input:4x4x24-output:2x2x40-expand:6-kernel:7-stride:2-idskip:0,0.54165
expanded_conv-input:2x2x24-output:2x2x40-expand:3-kernel:3-stride:1-idskip:0,0.306782
expanded_conv-input:2x2x24-output:2x2x40-expand:6-kernel:3-stride:1-idskip:0,0.467594
expanded_conv-input:2x2x24-output:2x2x40-expand:3-kernel:5-stride:1-idskip:0,0.326822
expanded_conv-input:2x2x24-output:2x2x40-expand:6-kernel:5-stride:1-idskip:0,0.500555
expanded_conv-input:2x2x24-output:2x2x40-expand:3-kernel:7-stride:1-idskip:0,0.324713
expanded_conv-input:2x2x24-output:2x2x40-expand:6-kernel:7-stride:1-idskip:0,0.494586
expanded_conv-input:2x2x24-output:1x1x40-expand:3-kernel:3-stride:2-idskip:0,0.196094
expanded_conv-input:2x2x24-output:1x1x40-expand:6-kernel:3-stride:2-idskip:0,0.265867
expanded_conv-input:2x2x24-output:1x1x40-expand:3-kernel:5-stride:2-idskip:0,0.175559
expanded_conv-input:2x2x24-output:1x1x40-expand:6-kernel:5-stride:2-idskip:0,0.244212
expanded_conv-input:2x2x24-output:1x1x40-expand:3-kernel:7-stride:2-idskip:0,0.185595
expanded_conv-input:2x2x24-output:1x1x40-expand:6-kernel:7-stride:2-idskip:0,0.278288
expanded_conv-input:32x32x24-output:32x32x80-expand:3-kernel:3-stride:1-idskip:0,3.62186
expanded_conv-input:32x32x24-output:32x32x80-expand:6-kernel:3-stride:1-idskip:0,6.87603
expanded_conv-input:32x32x24-output:32x32x80-expand:3-kernel:5-stride:1-idskip:0,3.80063
expanded_conv-input:32x32x24-output:32x32x80-expand:6-kernel:5-stride:1-idskip:0,7.28282
expanded_conv-input:32x32x24-output:32x32x80-expand:3-kernel:7-stride:1-idskip:0,4.4512
expanded_conv-input:32x32x24-output:32x32x80-expand:6-kernel:7-stride:1-idskip:0,8.56277
expanded_conv-input:32x32x24-output:16x16x80-expand:3-kernel:3-stride:2-idskip:0,1.74501
expanded_conv-input:32x32x24-output:16x16x80-expand:6-kernel:3-stride:2-idskip:0,3.1537
expanded_conv-input:32x32x24-output:16x16x80-expand:3-kernel:5-stride:2-idskip:0,1.82727
expanded_conv-input:32x32x24-output:16x16x80-expand:6-kernel:5-stride:2-idskip:0,3.41251
expanded_conv-input:32x32x24-output:16x16x80-expand:3-kernel:7-stride:2-idskip:0,2.03438
expanded_conv-input:32x32x24-output:16x16x80-expand:6-kernel:7-stride:2-idskip:0,3.83269
expanded_conv-input:16x16x24-output:16x16x80-expand:3-kernel:3-stride:1-idskip:0,1.16595
expanded_conv-input:16x16x24-output:16x16x80-expand:6-kernel:3-stride:1-idskip:0,2.07867
expanded_conv-input:16x16x24-output:16x16x80-expand:3-kernel:5-stride:1-idskip:0,1.16191
expanded_conv-input:16x16x24-output:16x16x80-expand:6-kernel:5-stride:1-idskip:0,2.15487
expanded_conv-input:16x16x24-output:16x16x80-expand:3-kernel:7-stride:1-idskip:0,1.34698
expanded_conv-input:16x16x24-output:16x16x80-expand:6-kernel:7-stride:1-idskip:0,2.45954
expanded_conv-input:16x16x24-output:8x8x80-expand:3-kernel:3-stride:2-idskip:0,0.671089
expanded_conv-input:16x16x24-output:8x8x80-expand:6-kernel:3-stride:2-idskip:0,1.17158
expanded_conv-input:16x16x24-output:8x8x80-expand:3-kernel:5-stride:2-idskip:0,0.786965
expanded_conv-input:16x16x24-output:8x8x80-expand:6-kernel:5-stride:2-idskip:0,1.20066
expanded_conv-input:16x16x24-output:8x8x80-expand:3-kernel:7-stride:2-idskip:0,0.793972
expanded_conv-input:16x16x24-output:8x8x80-expand:6-kernel:7-stride:2-idskip:0,1.33954
expanded_conv-input:8x8x24-output:8x8x80-expand:3-kernel:3-stride:1-idskip:0,0.544903
expanded_conv-input:8x8x24-output:8x8x80-expand:6-kernel:3-stride:1-idskip:0,0.979527
expanded_conv-input:8x8x24-output:8x8x80-expand:3-kernel:5-stride:1-idskip:0,0.530554
expanded_conv-input:8x8x24-output:8x8x80-expand:6-kernel:5-stride:1-idskip:0,0.985237
expanded_conv-input:8x8x24-output:8x8x80-expand:3-kernel:7-stride:1-idskip:0,0.675609
expanded_conv-input:8x8x24-output:8x8x80-expand:6-kernel:7-stride:1-idskip:0,1.0315
expanded_conv-input:8x8x24-output:4x4x80-expand:3-kernel:3-stride:2-idskip:0,0.401339
expanded_conv-input:8x8x24-output:4x4x80-expand:6-kernel:3-stride:2-idskip:0,0.620706
expanded_conv-input:8x8x24-output:4x4x80-expand:3-kernel:5-stride:2-idskip:0,0.39977
expanded_conv-input:8x8x24-output:4x4x80-expand:6-kernel:5-stride:2-idskip:0,0.687292
expanded_conv-input:8x8x24-output:4x4x80-expand:3-kernel:7-stride:2-idskip:0,0.416546
expanded_conv-input:8x8x24-output:4x4x80-expand:6-kernel:7-stride:2-idskip:0,0.649807
expanded_conv-input:4x4x24-output:4x4x80-expand:3-kernel:3-stride:1-idskip:0,0.322452
expanded_conv-input:4x4x24-output:4x4x80-expand:6-kernel:3-stride:1-idskip:0,0.514348
expanded_conv-input:4x4x24-output:4x4x80-expand:3-kernel:5-stride:1-idskip:0,0.31612
